CX3CL1
RPS21
RPL3
DPAGT1
IRAG2
ADAMTSL2
DDRGK1
ERO1B
HNRNPA2B1
ALDH9A1
ADAMTS13
SLC17A5
SERPINA1
HNRNPAB
SIRPA
MMP23B
SAA1
RSPO1
HBM
MFNG
CHD4
OCRL
DENND2D
RTN4
SRSF2
FRYL
TRIM33
UBL5
RPE
BABAM1
WASF1
PCBP2
SARG
AP4M1
HLA-B
TRAPPC2
NIF3L1
MDK
ARPC5
GAL3ST4
TFRC
SPN
CES1
CLCN3
UBE2Z
LAMC3
RAB25
MTOR
SPRYD7
ILF2
DZIP3
SUCNR1
TRIM58
AGT
GUK1
THBS2
STUM
SLC30A1
C4BPA
FCMR
NUCKS1
SYNE1
PCMT1
QSOX1
TIPRL
CD244
SLAMF6
MTX1
SHC1
SELENBP1
SEC63
EIF3A
PEX11B
ME1
ATP6AP1
STRIP1
GBF1
NAA10
ARMH3
ABCD3
GCLM
ZNF185
NSDHL
RPL5
HMGB3
GBP4
GBP2
CREG1
RBMX
CD40LG
SLC9A6
PGAM1
TM2D1
C8B
RAE1
FAM210B
MAN1B1
PTGDS
TXNDC12
CARD9
POMGNT1
MINPP1
ADIRF
MMRN2
GPR15LG
HECTD3
UCK1
NCS1
PRPS1
YBX1
SMAP2
SDC4
SEMG1
CAP1
RPL36A
ST6GALNAC6
TOR2A
NIBAN2
PGK1
PBDC1
ANGPTL2
AK2
MARCKSL1
PEF1
RPL10A
RPS6KA1
HMGCL
TMEM245
C1QA
SLC38A10
ALPL
HLA-DRA
COL15A1
AGER
NCBP1
EMC1
SMIM5
HABP4
SKIC2
ASPN
LSM2
COMMD3
DTD1
KCTD12
AUP1
VPS36
LRRC47
PANK4
SLC35B4
CCDC3
API5
TRIQK
ATL2
GPCPD1
PDK3
NAA16
NHLRC3
KATNB1
ERAP2
PHKA2
SAMD9
NPNT
SYAP1
EMILIN1
GET1
IDH3B
DUT
TTC38
HTN3
CD99
P2RY8
ASMTL
TMEM165
TEC
CRYZL1
COMMD8
FKBP1A
CPPED1
MTMR6
GART
NADK2
TRA2B
MICU2
MSLN
VPS52
PRB2
LYST
IGKC
IGKV6-21
IGLV7-46
IGLV2-14
IGLV3-9
IGHV6-1
IGHV1-24
IGHV1-46
C6orf47
XRCC5
COX6B1
CALCRL
SLC4A2
EVL
DBH
CUL5
STEAP3
NAP1L1
SLC35B2
COASY
FAT4
CIAPIN1
DNASE1L3
CHCHD2
UMOD
TMEM106B
GAPDH
ITGA4
RALGAPB
APOL1
TSPAN4
PDLIM2
PYM1
TOMM6
SEPTIN7
OPRPN
SRL
GGT1
ARHGAP25
SERPINE2
POTEF
NDUFA11
RDH13
JAK3
FAM13C
CA1
TOR1AIP1
BIRC6
BNIP2
FCHO2
PNPT1
ANAPC7
TOM1
FGD4
RETREG2
C4A
COG6
CCN1
PRG4
PNPO
ARFGAP2
ALDOA
IGHV3-64
ELOVL7
HYCC1
IGKV3D-15
TRAPPC4
FAT1
C1S
TNPO2
GPX1
HLA-C
C4B
PRKCA
CCDC124
GOLGA2
SDCBP
NAP1L1
PLCL2
IGKV6D-21
LSM14A
ACTBL2
VWA1
TRBC2
DBNL
ALG2
IVD
RPL37A
PARP14
CIAO1
NDUFA6
PARP9
IGKV1-27
SELENOT
SMYD3
IGKV1D-8
IGKV1-5
TFAM
ATP2C1
-
PGM3
ALYREF
BMP2K
PDGFC
TTC39B
ATG12
ANK3
SLAIN2
WDR1
PIK3R1
LARP1
SBSN
DOCK2
EPHX2
CTHRC1
IGLL5
DCT
FAU
RIC8A
PAMR1
SPIN3
HEATR5A
GGA3
TCP1
TBC1D30
FCRL6
HPR
EPB41L3
TBC1D10C
C1R
SLC1A5
RAP1B
FRY
KIAA0513
MYL6B
PPP1R12A
VPS29
KRT4
VTI1B
ITGA7
-
B2M
-
MACF1
CETP
NPW
TDRD12
APOBR
SLC25A24
SPON1
MYH3
APOC1
FMNL1
KRT13
KRT19
RHBDF2
-
UBXN6
APOC1
APOC4-APOC2
FAM20A
TNPO2
C3
CXCL17
Rps28
PGLYRP2
PTP4A2
DENND4C
DNAJC3
MMP28
CCL5
HEBP2
DCP1A
NT5C3A
SERPINA1
SYNRG
CCL16
MAL2
CCL18
VEGFC
PIK3R6
TNS1
SCAMP1
SLC6A6
IGKV1D-13
SBK3
CCL23
EXOC5
IGHV2-70
ADSL
HMCN2
CD99
SAA2-SAA4
WASHC1
PTP4A1
PRSS2
SERPINF2
EIF4G3
GSN
PRG4
C3orf85
UMAD1
ATP6AP2
CPT2
PHGDH
GIPC3
CCDC9
VPS45
ACTB
NT5C3A
TRIOBP
TPM4
IGF1R
ITM2B
CPOX
GAN
LPL
ALOX12B
RAB12
MPRIP
-
hCG_2003024
PCSK9
GGTA1
NAXD
MYO5A
-
-
FBXL13
C3
CFH
